external_urls,followers,genres,href,raw_artist_uri,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk'},2336505,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",https://api.spotify.com/v1/artists/2wIVse2owClT7go1WT98tk,2wIVse2owClT7go1WT98tk,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf6691f40d906f097e9fbaa4c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f6691f40d906f097e9fbaa4c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f6691f40d906f097e9fbaa4c', 'width': 160}]",Missy Elliott,69,artist,spotify:artist:2wIVse2owClT7go1WT98tk
{'spotify': 'https://open.spotify.com/artist/26dSoYclwsYLMAKD3tpOr4'},13212370,"['dance pop', 'pop']",https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3a49b0a3954e460a8a76ed90', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743a49b0a3954e460a8a76ed90', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783a49b0a3954e460a8a76ed90', 'width': 160}]",Britney Spears,78,artist,spotify:artist:26dSoYclwsYLMAKD3tpOr4
{'spotify': 'https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m'},36323248,"['pop', 'r&b']",https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517412e3f20d05a8d6cfde988715', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17812e3f20d05a8d6cfde988715', 'width': 160}]",Beyoncé,82,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m
{'spotify': 'https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7'},13443728,"['dance pop', 'pop']",https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,31TPClRtHm23RisEBtV3X7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9d3f9efc8e0030306e583cef', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749d3f9efc8e0030306e583cef', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789d3f9efc8e0030306e583cef', 'width': 160}]",Justin Timberlake,78,artist,spotify:artist:31TPClRtHm23RisEBtV3X7
{'spotify': 'https://open.spotify.com/artist/5EvFsr3kj42KNv97ZEnqij'},2069888,"['pop rap', 'reggae fusion']",https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,5EvFsr3kj42KNv97ZEnqij,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb356dc7e9ba8792cb86a0c50c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174356dc7e9ba8792cb86a0c50c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178356dc7e9ba8792cb86a0c50c', 'width': 160}]",Shaggy,69,artist,spotify:artist:5EvFsr3kj42KNv97ZEnqij
{'spotify': 'https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj'},10824942,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,23zg3TcAtWQy7J6upgbUnj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb84813d8e6a3154717e618140', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517484813d8e6a3154717e618140', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17884813d8e6a3154717e618140', 'width': 160}]",USHER,77,artist,spotify:artist:23zg3TcAtWQy7J6upgbUnj
{'spotify': 'https://open.spotify.com/artist/6wPhSqRtPu1UhRCDX5yaDJ'},5538186,"['dance pop', 'girl group', 'pop']",https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,6wPhSqRtPu1UhRCDX5yaDJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb292575f7d081016e04dff9ee', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174292575f7d081016e04dff9ee', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178292575f7d081016e04dff9ee', 'width': 160}]",The Pussycat Dolls,66,artist,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ
{'spotify': 'https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i'},6801797,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/1Y8cdNmUJH7yBTd9yOvr5i,1Y8cdNmUJH7yBTd9yOvr5i,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf75e64532704bd6acf0b4e76', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f75e64532704bd6acf0b4e76', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f75e64532704bd6acf0b4e76', 'width': 160}]",Destiny's Child,68,artist,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i
{'spotify': 'https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7'},2408613,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7,1G9G7WwrXka3Z1r7aIDjI7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0cb3f95b9f8f7337e135a925', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740cb3f95b9f8f7337e135a925', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780cb3f95b9f8f7337e135a925', 'width': 160}]",Outkast,72,artist,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7
{'spotify': 'https://open.spotify.com/artist/2jw70GZXlAI8QzWeY2bgRc'},3626743,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/2jw70GZXlAI8QzWeY2bgRc,2jw70GZXlAI8QzWeY2bgRc,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4cf746b3348b3b0111056c11', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744cf746b3348b3b0111056c11', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784cf746b3348b3b0111056c11', 'width': 160}]",Nelly Furtado,74,artist,spotify:artist:2jw70GZXlAI8QzWeY2bgRc
{'spotify': 'https://open.spotify.com/artist/2Hjj68yyUPiC0HKEOigcEp'},1002331,"['dance pop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/2Hjj68yyUPiC0HKEOigcEp,2Hjj68yyUPiC0HKEOigcEp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb38b04c707b49cff53ed32375', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517438b04c707b49cff53ed32375', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17838b04c707b49cff53ed32375', 'width': 160}]",Jesse McCartney,55,artist,spotify:artist:2Hjj68yyUPiC0HKEOigcEp
{'spotify': 'https://open.spotify.com/artist/27FGXRNruFoOdf1vP8dqcH'},1521180,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/27FGXRNruFoOdf1vP8dqcH,27FGXRNruFoOdf1vP8dqcH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9592a41ec193fd20c5372ed3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749592a41ec193fd20c5372ed3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789592a41ec193fd20c5372ed3', 'width': 160}]",Cassie,61,artist,spotify:artist:27FGXRNruFoOdf1vP8dqcH
{'spotify': 'https://open.spotify.com/artist/0f5nVCcR06GX8Qikz0COtT'},2836220,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",https://api.spotify.com/v1/artists/0f5nVCcR06GX8Qikz0COtT,0f5nVCcR06GX8Qikz0COtT,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba1d9a8542f3f7af1563a5185', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a1d9a8542f3f7af1563a5185', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a1d9a8542f3f7af1563a5185', 'width': 160}]",Omarion,59,artist,spotify:artist:0f5nVCcR06GX8Qikz0COtT
{'spotify': 'https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j'},10451654,"['canadian pop', 'candy pop', 'dance pop', 'pop']",https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j,0p4nmQO2msCgU4IF37Wi3j,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb581efa688945cbb092df1726', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174581efa688945cbb092df1726', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178581efa688945cbb092df1726', 'width': 160}]",Avril Lavigne,72,artist,spotify:artist:0p4nmQO2msCgU4IF37Wi3j
{'spotify': 'https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z'},20798571,"['pop rap', 'r&b', 'rap']",https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z,7bXgB6jMjp9ATFy66eO08Z,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a48397e590a1c70e2cda7728', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a48397e590a1c70e2cda7728', 'width': 160}]",Chris Brown,84,artist,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
{'spotify': 'https://open.spotify.com/artist/4TKTii6gnOnUXQHyuo9JaD'},1083235,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",https://api.spotify.com/v1/artists/4TKTii6gnOnUXQHyuo9JaD,4TKTii6gnOnUXQHyuo9JaD,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb962c94da847bcc4ef21c4ad9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174962c94da847bcc4ef21c4ad9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178962c94da847bcc4ef21c4ad9', 'width': 160}]",Sheryl Crow,64,artist,spotify:artist:4TKTii6gnOnUXQHyuo9JaD
{'spotify': 'https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS'},7803527,"['dance pop', 'pop', 'pop rap']",https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,1yxSLGMDHlW21z4YXirZDS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebabab30b094128cf4c0f2cef1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174abab30b094128cf4c0f2cef1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178abab30b094128cf4c0f2cef1', 'width': 160}]",Black Eyed Peas,77,artist,spotify:artist:1yxSLGMDHlW21z4YXirZDS
{'spotify': 'https://open.spotify.com/artist/5ND0mGcL9SKSjWIjPd0xIb'},1095340,"['neon pop punk', 'pop punk', 'pop rock', 'texas pop punk']",https://api.spotify.com/v1/artists/5ND0mGcL9SKSjWIjPd0xIb,5ND0mGcL9SKSjWIjPd0xIb,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb431720ffc823f2babce011f9', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174431720ffc823f2babce011f9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178431720ffc823f2babce011f9', 'width': 160}]",Bowling For Soup,58,artist,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb
{'spotify': 'https://open.spotify.com/artist/01lz5VBfkMFDteSA9pKJuP'},237648,"['boy band', 'neon pop punk', 'pixie', 'pop punk']",https://api.spotify.com/v1/artists/01lz5VBfkMFDteSA9pKJuP,01lz5VBfkMFDteSA9pKJuP,"[{'height': 402, 'url': 'https://i.scdn.co/image/91a8ed07a93bda12047370631501e8138a56ba79', 'width': 500}, {'height': 161, 'url': 'https://i.scdn.co/image/94b947cd16c706cc0b9cf671eabb48fc874f0032', 'width': 200}, {'height': 51, 'url': 'https://i.scdn.co/image/198e4fe7c7aadbc612ca55da43ca342652f162c3', 'width': 63}]",The Click Five,45,artist,spotify:artist:01lz5VBfkMFDteSA9pKJuP
{'spotify': 'https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD'},7301276,"['boy band', 'pop']",https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD,7gOdHgIoIKoe4i9Tta6qdD,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebab4364d80728df548a4f7d77', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ab4364d80728df548a4f7d77', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ab4364d80728df548a4f7d77', 'width': 160}]",Jonas Brothers,74,artist,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD
{'spotify': 'https://open.spotify.com/artist/5qK5bOC6wLtuLhG5KvU17c'},83732,"['hip pop', 'trap queen']",https://api.spotify.com/v1/artists/5qK5bOC6wLtuLhG5KvU17c,5qK5bOC6wLtuLhG5KvU17c,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb5480bacf7da47dd37e1b4f7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b5480bacf7da47dd37e1b4f7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b5480bacf7da47dd37e1b4f7', 'width': 160}]",Lil Mama,45,artist,spotify:artist:5qK5bOC6wLtuLhG5KvU17c
{'spotify': 'https://open.spotify.com/artist/0N0d3kjwdY2h7UVuTdJGfp'},500384,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",https://api.spotify.com/v1/artists/0N0d3kjwdY2h7UVuTdJGfp,0N0d3kjwdY2h7UVuTdJGfp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba753dbba29da937cc0f4224b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a753dbba29da937cc0f4224b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a753dbba29da937cc0f4224b', 'width': 160}]",Cascada,62,artist,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp
{'spotify': 'https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y'},11960486,"['dance pop', 'pop']",https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y,07YZf4WDAMNwqr4jfgOZ8y,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb2ca27dcc7f92e9576126bb18', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051742ca27dcc7f92e9576126bb18', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1782ca27dcc7f92e9576126bb18', 'width': 160}]",Jason Derulo,76,artist,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y
{'spotify': 'https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj'},8401420,"['dance pop', 'pop', 'r&b', 'urban contemporary']",https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebca118e3822061f7b7f6bc537', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ca118e3822061f7b7f6bc537', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ca118e3822061f7b7f6bc537', 'width': 160}]",Ne-Yo,76,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj
{'spotify': 'https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6'},22619957,['pop'],https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb5af3b38f053486ab0784dee', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b5af3b38f053486ab0784dee', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b5af3b38f053486ab0784dee', 'width': 160}]",Miley Cyrus,82,artist,spotify:artist:5YGY8feqx7naU7z4HrwZM6
{'spotify': 'https://open.spotify.com/artist/0vWCyXMrrvMlCcepuOJaGI'},1190527,"['neon pop punk', 'pop punk']",https://api.spotify.com/v1/artists/0vWCyXMrrvMlCcepuOJaGI,0vWCyXMrrvMlCcepuOJaGI,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb422c3ff21d54d8660387285f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174422c3ff21d54d8660387285f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178422c3ff21d54d8660387285f', 'width': 160}]",BOYS LIKE GIRLS,58,artist,spotify:artist:0vWCyXMrrvMlCcepuOJaGI
{'spotify': 'https://open.spotify.com/artist/5tKXB9uuebKE34yowVaU3C'},921007,"['dance pop', 'pop rap', 'post-teen pop']",https://api.spotify.com/v1/artists/5tKXB9uuebKE34yowVaU3C,5tKXB9uuebKE34yowVaU3C,"[{'height': 667, 'url': 'https://i.scdn.co/image/07be68a6b678e0307e38303186ddbc6816f250af', 'width': 1000}, {'height': 427, 'url': 'https://i.scdn.co/image/e5611d678c61f484cdeb18eee0d3c2674729dd1a', 'width': 640}, {'height': 133, 'url': 'https://i.scdn.co/image/eb2ecea21aa3eef2165103326233bfbc477b0e1c', 'width': 200}, {'height': 43, 'url': 'https://i.scdn.co/image/2ff1e40b89fc9a9468a34a1cab8f57974f731edb', 'width': 64}]",Iyaz,62,artist,spotify:artist:5tKXB9uuebKE34yowVaU3C
{'spotify': 'https://open.spotify.com/artist/6LqNN22kT3074XbTVUrhzX'},7687538,"['dance pop', 'pop']",https://api.spotify.com/v1/artists/6LqNN22kT3074XbTVUrhzX,6LqNN22kT3074XbTVUrhzX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8e32655d5ee8021c812b0f74', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748e32655d5ee8021c812b0f74', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788e32655d5ee8021c812b0f74', 'width': 160}]",Kesha,73,artist,spotify:artist:6LqNN22kT3074XbTVUrhzX
{'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'},74609186,"['canadian pop', 'pop']",https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,1uNFoZAHBGtllmzznpCI3s,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748ae7f2aaa9817a704a87ea36', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788ae7f2aaa9817a704a87ea36', 'width': 160}]",Justin Bieber,86,artist,spotify:artist:1uNFoZAHBGtllmzznpCI3s
{'spotify': 'https://open.spotify.com/artist/0QJIPDAEDILuo8AIq3pMuU'},1275501,"['escape room', 'indietronica', 'neo-synthpop', 'new rave']",https://api.spotify.com/v1/artists/0QJIPDAEDILuo8AIq3pMuU,0QJIPDAEDILuo8AIq3pMuU,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd75b03e7f83d62dcd55617ca', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d75b03e7f83d62dcd55617ca', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d75b03e7f83d62dcd55617ca', 'width': 160}]",M.I.A.,65,artist,spotify:artist:0QJIPDAEDILuo8AIq3pMuU
{'spotify': 'https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu'},7153810,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu,0C0XlULifJtAgn6ZNCW2eu,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb207b21f3ed0ee96adce3166a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174207b21f3ed0ee96adce3166a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178207b21f3ed0ee96adce3166a', 'width': 160}]",The Killers,74,artist,spotify:artist:0C0XlULifJtAgn6ZNCW2eu
{'spotify': 'https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP'},7909593,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,6FBDaR13swtiWwGhX1WQsP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5da36f8b98dd965336a1507a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745da36f8b98dd965336a1507a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785da36f8b98dd965336a1507a', 'width': 160}]",blink-182,78,artist,spotify:artist:6FBDaR13swtiWwGhX1WQsP
